place_id,name,rating,type,htm,latitude,longitude,description
1,Candi Borobudur,4.7,Budaya Dan Sejarah,50000,-7.607.086.854,1.102.036.226,candi yang pernah masuk sebagai salah satu dari tujuh keajaiban dunia ini dihiasi oleh banyak relief di dinding candi relief yang ada di candi borobudur mencapai dan panjangnya bisa mencapai kilometer
2,Candi Prambanan,4.7,Budaya Dan Sejarah,50000,-7.751.834.561,1.104.915.318,candi prambanan adalah kompleks candi hindu terbesar di indonesia yang dibangun pada abad ke masehi candi ini dipersembahkan untuk trimurti tiga dewa utama hindu yaitu brahma sebagai dewa pencipta wisnu sebagai dewa pemelihara dan siwa sebagai dewa pemusnah berdasarkan prasasti siwagrha nama asli kompleks candi ini adalah siwagrha bahasa sanskerta yang bermakna rumah siwa dan memang di garbagriha ruang utama candi ini bersemayam arca siwa mahadewa setinggi tiga meter yang menujukkan bahwa di candi ini dewa siwa lebih diutamakan
3,Tebing Breksi,4.4,Alam,10000,-7.781.476.547,1.105.045.757,tebing breksi merupakan tempat wisata yang berada di wilayah kabupaten sleman lokasinya berada di sebelah selatan candi prambanan dan berdekatan dengan candi ijo serta kompleks keraton boko tempat ini merupakan perbukitan batuan breksi dari atas tebing wisatawan dapat melihat keseluruhan kota jogja bahkan aktivitas masyarakat pun dapat terlihat dari atas tebing serpeti pesawat yang lepas landas kendaraan yang hilidr mudik
4,Gembira Loka Zoo,4.5,Buatan,25000,-78.062.344,1.103.967.977,gambira loka adalah kebun binatang yang berada di yogyakarta berisi berbagai macam spesies dari belahan dunia seperti orangutan gajah asia simpanse harimau dan lain sebagainya kebun binatang gembira loka menjadi daya tarik tersendiri bagi para wisatawan yogyakarta gembira loka zoo sempat rusak parah akibat gempa bumi yang mengguncang kota yogyakarta tahun tetapi setelah direnovasi kebun binatang gembira loka tetap dicari para wisatawan
5,The Palace of Yogyakarta (Keraton Yogyakarta),4.6,Budaya Dan Sejarah,8000,-78.052.845,1.103.642.031,kompleks keraton merupakan museum yang menyimpan berbagai koleksi milik kesultanan termasuk berbagai pemberian dari raja raja eropa replika pusaka keraton dan gamelan dari segi bangunannya keraton ini merupakan salah satu contoh arsitektur istana jawa yang terbaik memiliki balairung balairung mewah dan lapangan serta paviliun yang luas
6,Taman Sari,4.6,Budaya Dan Sejarah,5000,-7.809.833.449,1.103.595.117,taman sari yogyakarta merupakan salah satu bangunan milik kesultanan yogyakarta yang difungsikan sebagai destinasi wisata namun selain sebagai destinasi wisata taman sari pada saat tertentu juga masih digunakan sebagai tempat ritual oleh keluarga raja dengan bentuk bangunan arsitektur ala portugis jawa bangunan di taman ini menjadi daya tarik utama meskipun sekarang kondisi bangunan tak lagi utuh seperti saat masih difungsikan sebagai taman kesultanan namun tetap saja aura keindahan terpancar kuat dari bangunan bangunan di taman ini
7,Hutan Pinus Mangunan Dlingo,4.6,Alam,3000,-79.267.837,1.104.319.967,hutan pinus mangunan yang ada di jogja bisa menjadi destinasi hutan yang tepat disana banyak terdapat pepohonan yang tinggi menjulang yang dikenal dengan nama pinus merkusi nggak heran deh kalau banyak wisatawan yang merasa kepincut dengan objek wisata ini sebab kesejukan dan keindahan pemandangannya benar benar mempesona mata
8,Jogja Bay,4.4,Wisata Air,100000,-77.478.461,1.104.188.754,jogja bay waterpark jbw salah satu waterpark terbesar di asia tenggara yang berlokasi di kota wisata terbesar kedua di indonesia yaitu yogyakarta dan belakangan ini sudah menjadi salah satu tujuan destinasi wisata di yogyakarta waterpark yang saat ini merupakan atraksi wahana air terbesar terlengkap berstandar internasional dan memiliki karakter bajak laut – dengan bangga menyampaikan sesuai tripadvisor internasional telah merilis tahun “jogja bay waterpark di yogyakarta sebagai waterpark terbaik ke di asia” jogjabay telah tersertifikasi chse clean health safety enviroment dengan score dari kemenparekraf ri dan sucofindo
9,The World Landmarks - Merapi Park Yogyakarta,4.2,Buatan,15000,-76.209.046,1.104.216.275,merapi park merupakan tempat wisata yang dihadirkan sebagai tempat rekreasi keluarga taman bermain dengan taman taman yang tertata rapi dan terkesan sejuk sangat pas anda habiskan bersma sang buah hati atau kekasih tersayang taman bunga dan bangku panjang paduan yang sempurna untuk sekedar bercengkrama lepas tanpa terganggu bisingnya lalu lalang kendaraan tentu saja karena merapi park jogja ini terletak di bawah kaki gunung merapi kaliurang yang sepi dan sejuk panorama kaki gunung inilah akan membuat hasil jepretan foto anda menjadi lebih berwarna cantik dan menarik
10,The Lost World Castle,4.3,Buatan,30000,-76.041.648,1.104.510.042,di dalam the lost world casle pengunjung disuguhkan potret gagahnya gunung merapi selain itu di dalam objek wisata ini terdapat berbagai latar untuk mengambil foto yang menarik di antaranya taman koboi awan putih sepeda motor terbang sayap bidadari dan lain lain selain itu ada juga latar foto trik tiga dimensi berupa air terjun permadani terbang dan beberapa bunga sakura tiruan yang turut menghidupkan suasana
11,Fort Vredeburg Museum,4.6,Budaya Dan Sejarah,3000,-78.002.016,1.103.663.044,letak benteng vredeburg yogyakarta di kawasan nol kilometer pusat kota yogyakarta menjadikan sebuah daya tarik bagi para wisatawan dalam pelayanannya kepada masyarakat museum benteng vredeburg tidak lepas dari unsur unsur pendidikan karena pada dasarnya museum memiliki dua fungsi yaitu sebagai rekreasi sekaligus tempat pendidikan informasi tentang kebudaya dan sejarahan kebudayaan dan nilai nilai luhur kejuangan disampaikan kepada generasi muda dalam nuansa edutainment yang berasal dari kata education dan entertainment demikianlah benteng vredeburg yang sekarang menjadi museum benteng vredeburg yogyakarta telah melekat dengan kota yogyakarta latar belakang budaya dan sejarah kota yogyakarta baik sebagai ibukota kasultanan yogyakarta dan ibukota nkri tidak dapat dipisahkan dengan budaya dan sejarah benteng vredeburg yogyakarta pelestarian benteng vredeburg sebagai museum bukan berarti pengagungan simbol kejayaan kolonial akan tetapi tujuannya untuk mendapatkan fungsi baru yang dapat memberikan informasi dan aspirasi perjuangan nasional bagi generasi mendatang
12,Museum Benteng Vredeburg,4.6,Budaya Dan Sejarah,3000,-7.799.287.456,1.103.661.757,benteng vredeburg merupakan salah satu museum peninggalan belanda yang sangat terkenal di jogja karena di museum ini memiliki nilai cerita yang cukup panjang dan masih bertahan hingga saat ini museum benteng vredeburg mengoleksi berbagai macam karya seni berbagai macam patung dan berbagai macam senjata peninggalan belanda
